ID_Objeto,ID_Praia,ID_Municipio,Cod_Municipio_IBGE,Municipio,Praia,Classificacao_Agua,Data_Amostra_Inicio,Data_Atualizacao_Sistema,UGRHI,Dist_Norte,Qualidade_Codigo
134,PGCF390,558,3541000,PRAIA GRANDE,CANTO DO FORTE,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,390,0
135,PGBO393,558,3541000,PRAIA GRANDE,BOQUEIRÃO,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,393,0
138,PGJM398,558,3541000,PRAIA GRANDE,VILA TUPI,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,398,0
144,PGFL411,558,3541000,PRAIA GRANDE,BALNEARIO FLÓRIDA,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,411,0
137,PGAV397,558,3541000,PRAIA GRANDE,AVIAÇÃO,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,397,0
136,PGGM395,558,3541000,PRAIA GRANDE,GUILHERMINA,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,395,0
139,PGOC400,558,3541000,PRAIA GRANDE,OCIAN,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,400,0
142,PGVC406,558,3541000,PRAIA GRANDE,VILA CAIÇARA,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,406,0
140,PGVM401,558,3541000,PRAIA GRANDE,VILA MIRIM,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,401,0
141,PGMA404,558,3541000,PRAIA GRANDE,MARACANÃ,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,404,0
145,PGJS413,558,3541000,PRAIA GRANDE,JARDIM SOLEMAR,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,413,0
143,PGBF410,558,3541000,PRAIA GRANDE,REAL,Imprópria,2025-05-11,2025-05-15 12:10:03.363,Baixada Santista,410,0
